folder,file_name
"Lincoln Cents, 1909-Date",Lincoln Cent 37633_219 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 320686_6 Reverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 107258_64 Reverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 37633_222 Reverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 41463_18 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 2445_117 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 41463_71 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 2445_173 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 69935_13 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 2445_322 Reverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 107258_96 Reverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 320686_59 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 69935_97 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 47672_234 Reverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 41463_65 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 47672_185 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 2445_9 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 2445_10 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 41463_6 Reverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 320686_29 Reverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 107258_15 Reverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 2445_50 Reverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 41463_24 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 2445_52 Obverse.jpg
"Lincoln Cents, 1909-Date",Lincoln Cent 41463_67 Obverse.jpg
